Município,Hipertensão,Diabetes Tipo 1,Diabetes Tipo 2,Hiper_c/_Diabete
352520 Jarinu,501,3,12,172
352530 Jaú,10468,222,508,5097
352540 Jeriquara,273,1,7,48
352560 João Ramalho,280,1,8,84
352570 José Bonifácio,2661,86,261,1120
352580 Júlio Mesquita,922,8,19,194
352585 Jumirim,220,5,11,61
352590 Jundiaí,6063,49,278,2975
352610 Juquiá,1804,24,69,646
352620 Juquitiba,2015,32,144,731
352640 Laranjal Paulista,352,2,13,331
352650 Lavínia,510,11,20,183
352670 Leme,3926,227,524,2031
352680 Lençóis Paulista,1587,27,120,748
352690 Limeira,7028,235,549,3810
352700 Lindóia,183,-,8,58
352710 Lins,4518,97,154,1568
352720 Lorena,3053,61,141,1512
352725 Lourdes,304,10,16,72
352730 Louveira,2824,66,158,1524
352740 Lucélia,1795,42,101,727
352770 Luiziânia,380,8,5,148
352780 Lupércio,147,-,3,41
352790 Lutécia,285,2,13,86
352800 Macatuba,1732,22,76,684
352810 Macaubal,681,10,30,211
352820 Macedônia,289,2,1,95
352830 Magda,282,-,22,116
352840 Mairinque,5814,71,304,2107
352850 Mairiporã,1030,55,26,568
352860 Manduri,1064,16,41,441
352880 Maracaí,659,18,30,317
352885 Marapoama,118,1,3,44
352890 Mariápolis,811,4,20,226
352900 Marília,12386,169,637,4679
352910 Marinópolis,307,13,27,116
352920 Martinópolis,1392,33,58,561
352930 Matão,2052,87,431,1741
352940 Mauá,15306,245,773,5747
352950 Mendonça,119,11,8,85
352960 Meridiano,621,12,42,193
352965 Mesópolis,127,1,9,39
352970 Miguelópolis,416,26,48,292
352980 Mineiros do Tietê,1584,43,90,484
353000 Mira Estrela,216,-,10,60
352990 Miracatu,1729,22,56,554
353010 Mirandópolis,59,4,1,22
353030 Mirassol,1908,38,56,526
353040 Mirassolândia,267,3,9,60
353050 Mococa,2463,108,340,1720
353060 Mogi das Cruzes,11015,395,1094,6537
353070 Mogi Guaçu,6143,167,570,3182
353080 Mogi Mirim,5964,218,462,2822
353090 Mombuca,458,19,5,121
353100 Monções,411,4,19,101
353110 Mongaguá,570,8,31,221
353120 Monte Alegre do Sul,369,1,14,167
353130 Monte Alto,2769,43,115,1251
353140 Monte Aprazível,839,11,11,321
353150 Monte Azul Paulista,1747,11,37,582
353160 Monte Castelo,290,1,19,89
353180 Monte Mor,2342,44,60,1116
353170 Monteiro Lobato,11,-,-,8
353190 Morro Agudo,1949,53,82,611
353200 Morungaba,242,11,28,173
353205 Motuca,391,10,20,126
353210 Murutinga do Sul,678,11,43,110
353215 Nantes,142,1,4,38
353220 Narandiba,265,2,7,63
353240 Nazaré Paulista,746,41,32,324
353250 Neves Paulista,704,21,17,240
353260 Nhandeara,1390,12,59,322
353270 Nipoã,348,3,15,134
353280 Nova Aliança,642,11,22,228
353282 Nova Campina,766,6,18,167
353284 Nova Canaã Paulista,215,11,9,72
353286 Nova Castilho,31,-,-,6
353290 Nova Europa,1347,29,60,453
353300 Nova Granada,1830,22,65,443
353310 Nova Guataporanga,21,1,-,4
353320 Nova Independência,222,-,3,67
353330 Nova Luzitânia,49,-,2,32
353340 Nova Odessa,614,44,57,433
353325 Novais,139,1,2,22
353350 Novo Horizonte,4742,85,355,1257
353360 Nuporanga,233,4,13,85
353370 Ocauçu,298,2,16,118
353380 Óleo,58,1,-,23
353390 Olímpia,2527,109,137,1051
353400 Onda Verde,449,6,12,122
353410 Oriente,261,3,15,93
353420 Orindiúva,570,14,35,133
353430 Orlândia,1249,67,85,705
353440 Osasco,11912,177,789,5191
353450 Oscar Bressane,584,2,11,119
353460 Osvaldo Cruz,2970,40,100,956
353470 Ourinhos,8781,126,432,3177
353480 Ouro Verde,434,-,12,130
353475 Ouroeste,290,1,2,70
353490 Pacaembu,1034,13,30,366
353500 Palestina,1168,21,94,325
353510 Palmares Paulista,728,9,31,171
